;50.634445,3.048384;50.631068,3.042985;50.631682,3.042381;50.631936,3.041853;50.635331,3.046715;50.635378,3.047095;50.635121,3.047575;50.634485,3.054061;50.636339,3.053165;50.63176,3.049094;50.631164,3.049742;50.631512,3.046514;50.631246,3.044121;50.625615,3.047804;50.625355,3.050008;50.625567,3.048748;50.625472,3.048837;50.628224,3.053944;50.630734,3.054799;50.631658,3.051604;50.625386,3.034915;50.62791,3.034573;50.623975,3.040876;50.626337,3.045418;50.627615,3.046426;50.627868,3.046266;50.627351,3.046834;50.628954,3.038573;50.627441,3.045699;50.627978,3.047357;50.633589,3.059981;50.637043,3.058569;50.63446,3.054171;50.634965,3.053704;50.635384,3.054206;50.627073,3.066804;50.627066,3.042964;50.645411,3.059484;50.63277,3.042354;50.631574,3.040774;50.633207,3.054728;50.633179,3.054345;50.633433,3.055845;50.632866,3.053006;50.632438,3.050614;50.635058,3.050859;50.628832,3.049834;50.629149,3.051267;50.629083,3.05039;50.62929,3.049211;50.629913,3.049549;50.626132,3.059704;50.626434,3.059438;50.626153,3.060522;50.624837,3.061384;50.625077,3.060735;50.62479,3.059539;50.624182,3.06045;50.623496,3.064907;50.623087,3.06643;50.624739,3.067318;50.621942,3.041473;50.622637,3.042049;50.62196,3.042472;50.6216,3.043302;50.622412,3.043979;50.623041,3.043312;50.622379,3.038301;50.619929,3.049727;50.625395,3.043248;50.630847,3.067337;50.640557,3.083593;50.638,3.056016;50.629979,3.051115;50.629705,3.051757
50.629083,3.05039;591.0;548.0;605.0;654.0;678.0;690.0;660.0;611.0;793.0;316.0;259.0;304.0;473.0;413.0;399.0;403.0;412.0;265.0;284.0;325.0;997.0;1080.0;812.0;470.0;355.0;337.0;386.0;809.0;388.0;188.0;626.0;892.0;605.0;664.0;708.0;1014.0;491.0;1755.0;630.0;725.0;490.0;509.0;562.0;498.0;404.0;751.0;53.0;45.0;0.0;76.0;171.0;697.0;699.0;738.0;843.0;803.0;761.0;826.0;1135.0;1223.0;1040.0;876.0;810.0;876.0;925.0;810.0;736.0;949.0;921.0;606.0;1061.0;2069.0;936.0;140.0;142.0
50.62929,3.049211;514.0;472.0;529.0;578.0;601.0;614.0;584.0;660.0;845.0;286.0;233.0;227.0;396.0;408.0;394.0;399.0;408.0;341.0;361.0;299.0;938.0;1021.0;713.0;465.0;281.0;263.0;313.0;750.0;314.0;183.0;703.0;913.0;654.0;703.0;747.0;1090.0;417.0;1679.0;553.0;649.0;510.0;530.0;582.0;468.0;379.0;675.0;49.0;121.0;76.0;0.0;95.0;706.0;708.0;748.0;856.0;815.0;770.0;836.0;1131.0;1228.0;1116.0;872.0;805.0;871.0;920.0;806.0;732.0;944.0;917.0;530.0;1137.0;2146.0;1004.0;182.0;193.0
50.629913,3.049549;470.0;484.0;540.0;589.0;589.0;570.0;540.0;572.0;757.0;198.0;160.0;239.0;408.0;503.0;490.0;494.0;503.0;337.0;327.0;226.0;950.0;1033.0;748.0;472.0;316.0;298.0;348.0;761.0;349.0;261.0;667.0;872.0;566.0;615.0;659.0;1062.0;452.0;1635.0;565.0;660.0;437.0;460.0;508.0;380.0;291.0;617.0;144.0;173.0;171.0;95.0;0.0;745.0;747.0;786.0;891.0;851.0;809.0;873.0;1226.0;1270.0;1087.0;962.0;900.0;966.0;1015.0;900.0;826.0;976.0;1012.0;565.0;1108.0;2117.0;916.0;108.0;119.0
50.626132,3.059704;976.0;1136.0;1192.0;1285.0;1104.0;1075.0;1045.0;852.0;1035.0;842.0;785.0;934.0;1060.0;640.0;517.0;577.0;568.0;396.0;526.0;699.0;1457.0;1562.0;1074.0;831.0;792.0;810.0;760.0;1346.0;835.0;756.0;776.0;1063.0;846.0;905.0;949.0;430.0;1019.0;1927.0;1260.0;1277.0;731.0;750.0;803.0;771.0;778.0;1022.0;657.0;652.0;697.0;706.0;745.0;0.0;63.0;41.0;178.0;189.0;144.0;222.0;512.0;610.0;427.0;1156.0;972.0;1088.0;1020.0;991.0;898.0;1211.0;812.0;910.0;677.0;2007.0;1177.0;655.0;614.0
50.626434,3.059438;967.0;1138.0;1194.0;1287.0;1096.0;1067.0;1037.0;844.0;1026.0;844.0;787.0;936.0;1062.0;642.0;520.0;579.0;570.0;398.0;528.0;701.0;1459.0;1564.0;1076.0;833.0;794.0;812.0;762.0;1348.0;837.0;758.0;712.0;999.0;837.0;897.0;940.0;493.0;1021.0;1863.0;1262.0;1279.0;723.0;742.0;739.0;776.0;780.0;1013.0;659.0;654.0;699.0;708.0;747.0;63.0;0.0;105.0;242.0;191.0;146.0;224.0;546.0;674.0;491.0;1158.0;974.0;1090.0;1023.0;993.0;900.0;1213.0;814.0;912.0;613.0;1944.0;1169.0;657.0;616.0
50.626153,3.060522;1017.0;1177.0;1234.0;1326.0;1146.0;1116.0;1087.0;893.0;1076.0;884.0;827.0;975.0;1101.0;682.0;559.0;618.0;610.0;438.0;567.0;740.0;1498.0;1603.0;1116.0;872.0;833.0;851.0;802.0;1387.0;876.0;797.0;756.0;1043.0;887.0;946.0;990.0;388.0;1060.0;1948.0;1301.0;1318.0;772.0;792.0;782.0;813.0;819.0;1063.0;699.0;693.0;738.0;748.0;786.0;41.0;105.0;0.0;137.0;148.0;185.0;224.0;470.0;569.0;386.0;1197.0;1013.0;1129.0;1062.0;1032.0;939.0;1253.0;854.0;951.0;626.0;1956.0;1225.0;697.0;656.0
50.624837,3.061384;1087.0;1285.0;1342.0;1434.0;1215.0;1182.0;1152.0;963.0;1146.0;989.0;932.0;1083.0;1209.0;790.0;667.0;726.0;718.0;546.0;672.0;856.0;1670.0;1773.0;1274.0;980.0;941.0;959.0;910.0;1495.0;984.0;905.0;815.0;1101.0;957.0;1016.0;1060.0;447.0;1168.0;2007.0;1409.0;1426.0;842.0;862.0;841.0;895.0;935.0;1133.0;807.0;798.0;843.0;856.0;891.0;178.0;242.0;137.0;0.0;40.0;125.0;86.0;333.0;461.0;384.0;1186.0;1162.0;1117.0;1050.0;1020.0;1089.0;1411.0;842.0;1056.0;685.0;2015.0;1284.0;802.0;761.0
50.625077,3.060735;1082.0;1245.0;1301.0;1394.0;1210.0;1181.0;1152.0;958.0;1141.0;948.0;891.0;1043.0;1169.0;749.0;626.0;686.0;677.0;505.0;632.0;816.0;1566.0;1671.0;1183.0;940.0;901.0;919.0;869.0;1455.0;944.0;865.0;826.0;1112.0;952.0;1011.0;1055.0;457.0;1128.0;2018.0;1369.0;1386.0;837.0;857.0;852.0;877.0;895.0;1128.0;766.0;758.0;803.0;815.0;851.0;189.0;191.0;148.0;40.0;0.0;84.0;126.0;373.0;501.0;425.0;1202.0;1078.0;1134.0;1067.0;1037.0;1004.0;1317.0;859.0;1016.0;696.0;2026.0;1283.0;762.0;720.0
50.62479,3.059539;1040.0;1200.0;1256.0;1349.0;1168.0;1139.0;1109.0;916.0;1099.0;906.0;849.0;998.0;1124.0;704.0;582.0;641.0;632.0;460.0;590.0;763.0;1521.0;1626.0;1138.0;895.0;856.0;874.0;824.0;1410.0;899.0;820.0;903.0;1146.0;910.0;969.0;1013.0;542.0;1083.0;2008.0;1324.0;1341.0;795.0;815.0;895.0;835.0;842.0;1086.0;721.0;716.0;761.0;770.0;809.0;144.0;146.0;185.0;125.0;84.0;0.0;78.0;400.0;497.0;458.0;1118.0;1094.0;1049.0;982.0;952.0;1021.0;1342.0;774.0;971.0;760.0;2090.0;1238.0;717.0;675.0
50.624182,3.06045;1114.0;1265.0;1322.0;1414.0;1242.0;1213.0;1183.0;990.0;1173.0;971.0;914.0;1063.0;1189.0;770.0;647.0;706.0;698.0;536.0;664.0;838.0;1584.0;1686.0;1187.0;960.0;921.0;939.0;890.0;1475.0;964.0;885.0;901.0;1188.0;984.0;1043.0;1087.0;524.0;1148.0;2093.0;1389.0;1406.0;869.0;889.0;973.0;909.0;918.0;1160.0;787.0;780.0;826.0;836.0;873.0;222.0;224.0;224.0;86.0;126.0;78.0;0.0;327.0;456.0;379.0;1099.0;1076.0;1031.0;963.0;934.0;1002.0;1324.0;755.0;1035.0;771.0;2101.0;1315.0;793.0;752.0
