;50.634445,3.048384;50.631068,3.042985;50.631682,3.042381;50.631936,3.041853;50.635331,3.046715;50.635378,3.047095;50.635121,3.047575;50.634485,3.054061;50.636339,3.053165;50.63176,3.049094;50.631164,3.049742;50.631512,3.046514;50.631246,3.044121;50.625615,3.047804;50.625355,3.050008;50.625567,3.048748;50.625472,3.048837;50.628224,3.053944;50.630734,3.054799;50.631658,3.051604;50.625386,3.034915;50.62791,3.034573;50.623975,3.040876;50.626337,3.045418;50.627615,3.046426;50.627868,3.046266;50.627351,3.046834;50.628954,3.038573;50.627441,3.045699;50.627978,3.047357;50.633589,3.059981;50.637043,3.058569;50.63446,3.054171;50.634965,3.053704;50.635384,3.054206;50.627073,3.066804;50.627066,3.042964;50.645411,3.059484;50.63277,3.042354;50.631574,3.040774;50.633207,3.054728;50.633179,3.054345;50.633433,3.055845;50.632866,3.053006;50.632438,3.050614;50.635058,3.050859;50.628832,3.049834;50.629149,3.051267;50.629083,3.05039;50.62929,3.049211;50.629913,3.049549;50.626132,3.059704;50.626434,3.059438;50.626153,3.060522;50.624837,3.061384;50.625077,3.060735;50.62479,3.059539;50.624182,3.06045;50.623496,3.064907;50.623087,3.06643;50.624739,3.067318;50.621942,3.041473;50.622637,3.042049;50.62196,3.042472;50.6216,3.043302;50.622412,3.043979;50.623041,3.043312;50.622379,3.038301;50.619929,3.049727;50.625395,3.043248;50.630847,3.067337;50.640557,3.083593;50.638,3.056016;50.629979,3.051115;50.629705,3.051757
50.624837,3.061384;1.51;1.785;1.863;1.992;1.688;1.641;1.6;1.338;1.591;1.373;1.294;1.505;1.68;1.097;0.926;1.009;0.997;0.758;0.933;1.189;2.319;2.461;1.768;1.362;1.307;1.332;1.263;2.077;1.367;1.257;1.131;1.53;1.329;1.411;1.472;0.621;1.622;2.787;1.958;1.981;1.17;1.197;1.168;1.244;1.299;1.573;1.12;1.108;1.171;1.188;1.238;0.248;0.336;0.19;0.0;0.055;0.173;0.119;0.462;0.64;0.533;1.646;1.614;1.551;1.458;1.416;1.511;1.959;1.169;1.467;0.951;2.798;1.783;1.114;1.057
50.622637,3.042049;1.652;1.241;1.319;1.388;1.772;1.789;1.748;1.894;2.171;1.49;1.442;1.356;1.206;0.594;0.675;0.618;0.606;1.261;1.44;1.533;0.691;0.976;0.329;0.59;0.83;0.855;0.786;0.983;0.76;0.9;1.901;2.284;1.885;1.967;2.028;1.947;0.689;3.269;1.417;1.289;1.726;1.753;1.825;1.743;1.62;1.874;1.05;1.188;1.125;1.118;1.25;1.349;1.352;1.407;1.614;1.497;1.52;1.494;1.781;1.916;2.021;0.115;0.0;0.091;0.184;0.198;0.102;0.35;0.796;0.474;2.21;3.915;2.345;1.268;1.27
50.627978,3.047357;0.868;0.527;0.605;0.667;0.988;1.005;0.964;1.136;1.387;0.616;0.555;0.547;0.422;0.348;0.375;0.335;0.347;0.651;0.656;0.647;1.158;1.273;0.902;0.428;0.266;0.241;0.31;0.897;0.312;0.0;1.131;1.533;1.127;1.195;1.256;1.647;0.454;2.444;0.633;0.765;0.942;0.98;1.041;0.869;0.746;1.09;0.223;0.324;0.261;0.254;0.363;1.049;1.052;1.107;1.257;1.201;1.138;1.229;1.639;1.774;1.644;0.992;0.9;0.992;1.06;0.9;0.797;1.093;1.077;0.611;1.735;3.135;1.561;0.456;0.458
50.631936,3.041853;0.638;0.134;0.056;0.0;0.504;0.545;0.586;1.116;1.144;0.724;0.804;0.486;0.244;0.977;1.043;1.003;1.015;1.277;1.264;0.967;1.074;0.726;1.177;0.877;0.772;0.747;0.816;0.511;0.708;0.667;1.591;1.575;1.125;1.098;1.159;2.295;0.743;2.2;0.112;0.098;1.139;1.112;1.244;1.037;0.838;0.887;0.871;0.972;0.909;0.803;0.818;1.784;1.787;1.842;1.992;1.936;1.873;1.964;2.374;2.509;2.354;1.48;1.388;1.48;1.548;1.388;1.285;1.359;1.695;0.967;2.269;3.595;1.411;0.969;0.986
50.63446,3.054171;0.486;1.174;1.181;1.125;0.664;0.623;0.582;0.008;0.312;0.595;0.589;0.834;1.069;1.333;1.314;1.32;1.332;0.804;0.444;0.49;1.821;1.851;1.79;1.413;1.203;1.178;1.247;1.56;1.249;1.127;0.533;0.554;0.0;0.081;0.142;1.245;1.346;1.668;1.091;1.223;0.209;0.207;0.157;0.257;0.463;0.32;0.976;0.776;0.839;0.908;0.785;1.174;1.163;1.232;1.329;1.322;1.263;1.366;1.674;1.787;1.534;1.977;1.885;1.977;2.045;1.885;1.782;1.972;1.912;1.52;1.21;2.484;0.615;0.708;0.765
50.634445,3.048384;0.0;0.719;0.694;0.638;0.177;0.136;0.095;0.477;0.545;0.378;0.457;0.398;0.614;1.217;1.263;1.204;1.216;0.909;0.625;0.456;1.464;1.364;1.441;1.141;0.944;0.919;0.988;1.149;0.972;0.868;0.952;0.977;0.486;0.459;0.52;1.656;1.007;1.602;0.604;0.736;0.5;0.473;0.605;0.398;0.346;0.248;0.783;0.754;0.821;0.715;0.653;1.355;1.344;1.413;1.51;1.503;1.444;1.547;1.855;1.968;1.715;1.744;1.652;1.744;1.812;1.652;1.549;1.623;1.959;1.231;1.63;2.956;0.813;0.622;0.679
